original,ex_predicted
Sharapova deserves a second chance: Boris Becker,"Boris Becker believes Maria Sharapova has paid her dues and deserves a second chance when she returns to tennis in April at the end of her 15-month doping ban.Sharapova, a five-times grand slam champion, failed a dope test for the drug meldonium at the 2016 Australian Open and was suspended for two years by the International Tennis Federation (ITF)."
Playstation games inspired youngsters to become carjackers,?The gang members robbed cars and high-end mobile phones and used to thrash the occupants if they resisted.
Uber taxi set on fire amidst ongoing cab drivers' strike,"Uber cab driver's car set afire by protesting cab drivers in #Indirapuram #Ghaziabad, Police lodges FIR @htTweets @htnoidagzb pic.twitter.com/AfvzauBX6z?"
Italian restaurant offers discount for well-behaved children,who does not have children ?
Christians silently converting people at large scale: BJP MP,"Ahmedabad, Feb 14 (PTI) Union Minister Giriraj Singh today claimed that Christians were ""silently"" converting maximum number of people, even as he batted for a law to control the countrys population."
Shiv Sena using Balasaheb's name to hide its corruption: Raj,asked Raj.Raj also alleged that the Shivsena wants to usurp the plush sea facing Mayor Bungalow under the name of Balasaheb memorial.
Were Bose's comrades freedom fighters or army deserters: CIC,The Central Information Commission has ordered the Home Ministry to answer this question.
"Vande Mataram needs equal status, respect: SC lawyer","Even before the row over the order asking cine-goers to stand up before a movie for the National Anthem died down, the Supreme Court Tuesday admitted a plea which said ""equal respect and status"" should be given to National Song Vande Mataram too."
BJP leaders doze off in ex-Bihar Dy CM Sushil Modi's presser,"In what has brought embarrassment to the party, BJP leaders were caught dozing off as former Bihar Deputy Chief Minister Sushil Kumar Modi held his weekly Janta Durbar in Patna on Tuesday to hear the grievances of the common man.Former minister Renu Kushwaha and her politician husband Vijay Kumar Singh, who were sitting next to Modi, were caught napping while he addressed mediapersons."
Congress leader shot dead in Maharashtra's Bhiwandi,A Congress leader in the Bhiwandi civic body was shot dead by a couple of unidentified persons late yesterday night around 9.30 PM.
14K bonded labour cases from 1993 to Jan 31 2017: NHRC,"The Commission has recommended compensation in cases of bonded labour and also amendments to several provisions in Bonded Labour System (Abolition) Act, 1976, Dattu said."
Govt hasn't waived a single paisa of any industrialist: FM,"Lucknow, Feb 14 (PTI) The NDA government has ""not waived even a single paisa"" of any industrialist and Rahul Gandhi is levelling ""false allegations"" in this regard, Union Finance Minister Arun Jaitley asserted today."
Crime rises in Delhi with a rape case reported every 4 hours,"particularly for women who made a distress-call to helplines every 9 minutes on an average.Of the 2,09,519 cases reported last year, 1,53,562 cases ?"
India witnessed maximum bombings worldwide in 2016: Report,"This does not reflect the exact number and details of the incident"", the report added.Also read | Twin blasts rock Imphal on Republic Day, no casualties; insurgent groups boycott celebrations   The NBDC report, published last week, also reported that Jammu and Kashmir saw an over 121 per cent rise in blast and IED-related incidents after the killing of terrorist Burhan Wani in the Valley in July last year."
College students worship Disha Patani to lose virginity,"Turns out the practice has been going on for years in Hindu College and it is called the 'Damdami Mai' puja wherein Damdami Mai is a female actor chosen by hostel students every year.This year, the Damdami Mai is Tiger Shroff's rumoured girlfriend Disha Patani.Speaking to Times of India, a second-year student from Hindu College hostel said, ""The second and third-year hostellers (sic) have chosen her."
GoAir plane makes emergency landing due to engine trouble,"New Delhi, Feb 14 (PTI) A city-bound GoAir flight from Mumbai with over 180 people on board made an emergency landing here following engine trouble, but no one was hurt."
Haryana seeks 5k paramilitary personnel over Jat agitation,"New Delhi, Feb 14 (PTI) With Jat agitation continuing, the Haryana government has sought from the Centre 5,600 paramilitary personnel to deal with the growing tension in the state."
"Amy Jackson's phone hacked, personal photos leaked online",I will register a complaint with the cyber crime cell in London and ensure the hackers are taken to task.
HC stays AAP govt's distance criteria for nursery admissions,"justice Manmohan remarked adding, ?primary cause of nursery admission chaos is the lack of good schools in the capital?.The court's order came on pleas by the Action Committee for Unaided Recognised Private Schools ?"
Only 0.2% of over 1L complaints against Delhi Police probed,"The anti-corruption helpline of Delhi Police received over 1.12 lakh calls, text and WhatsApp messages, alleging corruption, inaction in complaints and rude behaviour against police personnel in 2016, states the annual report of Delhi Police released on Monday.Of the total calls and messages, the department investigated only 307 complaint calls and messages."
Sasikala gets 4-year jail in disproportionate assets case,"With this, Sasikala stands disqualified to take over as Tamil Nadu chief minister."
"Will marry off those caught on V-Day, warns Bajrang Dal",On the eve of Valentine's day Bajrang Dal has warned the youth to stay away from celebrating Valentine's Day in any form.
"Hundreds evacuated, 600 acres burnt after wildfire in US","Red flag warnings have been issued for western Oklahoma, the Texas Panhandle and parts of West Texas."
"At least 16 killed, 40 injured in bomb blast in Lahore","At least 16 people, including two senior police officers, were killed and nearly 40 were injured when a suicide bomber struck a public demonstration in Pakistan's Lahore city on Monday evening."
Assam law officer barred from Assembly for taking selfie,"selfie Guwahati, Feb 13 (PTI) Assam Additional Advocate General Devajit Saikia has been barred from entering the Assembly for two weeks for allegedly clicking and uploading a selfie on social media when the House was in session."
Edible oil firm's stock surges 20% after pact with Patanjali,"During the day, it zoomed 19.84 per cent to Rs 30.80."
Vikram Limaye to get ?8 crore a year as NSE CEO,"NSE will also seek the shareholders nod at the EGM for the remuneration package to be paid to Limaye, who is joining the exchange from IDFC Ltd. As per the EGM notice sent to the shareholders, the compensation package payable to him would include a fixed pay component of little over Rs 6 crore per annum and variable pay of Rs 2 crore per year, taking the total pay to about Rs 8 crore."
Have a heartfelt and warm relationship with Murthy: Sikka,"Infosys, on its part, has denied any governance lapses and said it has made ""full disclosures"" on all developments."
Shah Rukh to have a cameo role in 'Baahubali 2': Reports,"Basking in the stupendous success of the gangster film Raees, Shah Rukh has made special appearances in films like like Ae Dil Hai Mushkil, Saathiya and Bhootnath returns."
Sachin Tendulkar unveils release date of his biopic,The book also holds the record in retail value terms having logged up Rs.
Saif's WhatsApp display picture is of his son Taimur: Report,"Before his parents took him home, few pictures of him (mostly fake) circulated in internet and the authentic ones featured Kareena Kapoor Khan and Saif Ali Khan with their little bundle of joy."
Swamy alleges interference by Union Ministers in TN politics,"However, Swamy refused to name the ministers, who are taking 'undue interest' in ongoing political crisis in AIADMK.Speaking to India Today, Subramanian Swamy said, ""As far as I know Union government has no role to play in governor's stand."
Katrina to turn producer and launch sister in B'wood: Report,"In fact, Salman was one of the co-producers of Isabel's debut film, and had even said that she was more talented than Kat.However, Mumbai Mirror quotes a source as saying, ""Katrina and Salman discuss films extensively and are like family to each other."
Samajwadi Party candidate in UP polls dies while on campaign,Samajwadi Party's candidate from Alapur Chandrashekhar Kanaujia died following a heart attack during an election campaign in Ambedkar Nagar.Kanaujia was campaigning ahead of the Assembly election in Uttar Pradesh.
Haryana plans to install smog-free towers to curb NCR smog,Crop burning in fields of Haryana and Punjab contribute significantly to rising Delhi's air pollution levels.
Flyer who opened flight's emergency exit released on surety,"Mumbai, Feb 11 (PTI) A passenger onboard an IndiGo flight who was taken into custody for opening the emergency chute of the Chandigarh-bound aircraft resulting in an injury to a co-passenger, was today released on surety, police said."
IAF to induct first indigenously developed 'eye in the sky',"On February 14, the day Aero India 2017 begins, the IAF will be the proud owner of its very own indigenous all-weather airborne early warning and control system popularly known as the AEW&C."
"Lowest salary of govt employee rose over 32,000% in 70 years","The 7th pay commission has recommended a 14.27 per cent increase in the basic pay of govt employees.In 1947, after India's Independence, the lowest salary of a central government employee was Rs 55 per month while the senior most officials took home a salary of Rs 2000 per month."
Ashwin thinks like a batsman while bowling: Pujara,"(Good to have 250 Test wickets record out of the way: Ravichandran Ashwin)In the first innings, Ashwin went for nearly 100 runs getting two wickets but Pujara said that he was given a restrictive role."
Rajasthan won't allow distorting Padmavati history: Minister,"However, the production house has insisted there is no romantic dream sequence or objectionable scene between Padmavati and Allauddin Khilji in the script.With the Rajasthan minister clearly expressing his viewpoint, the Karni Sena may feel further emboldened on the issue."
No one has right to judge patriotism of others: RSS chief,"Bhopal, Feb 12 (PTI) RSS chief Mohan Bhagwat has said that no one has the right to judge others patriotism."
Modi asks ministers to furnish details of tours in 3 months,"Prime Minister Narendra Modi has asked his ministerial colleagues to give details of tours, if any, undertaken by them during the last three months, an exercise aimed at ascertaining whether they promoted demonetisation and other initiatives, sources said."
Noida scam firm planned Australia tour for 150 distributors,"UPSTF ASP Triveni Singh said the Special Investigation Team had carried a search of Ablazes Ghaziabad office, and seized 32 CPUs, bank drafts worth Rs 7 crore from the premises."
Akshay Kumar's 'Jolly LLB 2' banned in Pakistan: Reports,"After the makers of the Akshay Kumar and Huma Qureshi-starrer were made to remove four scenes from the film before its release, comes the news that Jolly LLB 2 has been banned in Pakistan.According to a report in DNA, a reference to the Kashmir issue spelled doom for the film's Pakistan release."
"Mulayam campaigns for Shivpal, seeks votes for Lok Dal",He  came here asking for votes for his brother Shivpal Yadav but what was more interesting was his open support for a Lok Dal candidate from the Etwah seat.Mulayam rooting for the Lok Dal candidate is significant.
Congress turned Devbhoomi of Uttarakhand to loot-bhoomi: PM,"With two days to go before the poll campaign ends in Uttarakhand, electioneering is reaching its zenith today."
EC failed to curb use of money power in Goa polls: AAP,"Panaji, Feb 8 (PTI) The Goa unit of the Aam Aadmi Party (AAP) has claimed that the Election Commission has failed to curb the use of money power in last weeks Assembly polls in the state."
Golfer escapes alligator's jaws by beating it by golf club,"""I remember having a club in my hand, and as soon as he had me in the water up to my waist, I started hitting him over the head,"" Aarts said."
PM Modi issues orders to put armed forces under one officer,"Seeking to bring in major reforms in the country's defence forces, Prime Minister Narendra Modi has asked the Ministry of Defence to initiate steps towards creating theatre commands for the military.Under a theatre commands, all the troops and resources of the three forces - Army, Navy and Air Force - would be combined and put under the command of one officer, who would be from either of the three serivces and who would determine their use.At the combined commanders conference headed by the prime minister, the Integrated Defence Staff under the Defence Ministry was asked to prepare a roadmap for theatre commands and new initiatives would be taken by this year-end, senior Defence Ministry sources told India Today.APPOINTMENT OF NEW FOUR STAR GEN ALSO BEING CONSIDEREDThe three services had made a detailed presentation to the prime minister at the conference, which was held recently."
"Inclusion shows in every meeting, starting with me: Nadella",Nadella stressed the culture of diversity and inclusion has to be developed across the company and Microsoft is striving hard to achieve it.
Mira wants to have a second child soon: Shahid Kapoor,"Shahid Kapoor and Mira Rajput are gifting their daughter Misha a sibling pretty soon, it seems."
Afraid to go out for dinner with a man due to media: Karan,The Ae Dil Hai Mushkil director said that even an innocuous dinner with a male friend becomes front page news.
Monthly housing sales fell 40% on demonetisation: PropTiger,"Housing sales across these nine cities declined by 20 per cent to 43,512 units during October-December quarter of this fiscal from 54,721 units in the previous quarter."
Ministry of Home Affairs website hacked,"New Delhi, Feb 12 (PTI) The Ministry of Home Affairs website was hacked today, prompting authorities to temporarily block it, an official said."
News on private FM could threaten national security: Centre,"In the internet age when information flows freely, the government wants to continue its monopoly on news and current affairs programmes over radio waves and has justified its ban on private FM community radio service operators by saying they could threaten ""national security."""
World's oldest steam engine re-inducted into Indian Railways,"The 'Fairy Queen' will haul the train from New Delhi to Rewari in Haryana, departing from the Delhi Cantt."
Tamil Nadu Agriculture Minister Duraikannu reported missing,Sasikala is currently embroiled in a battle with O Panneerselvam for the chief minister's chair in Tamil Nadu.
Kailash Satyarthi's stolen Nobel replica recovered by police,Delhi Police have recovered the Nobel Peace Prize replica and other items stolen from Kailash Satyarthi's south Delhi house on February 7.
"Have waited patiently, will do what is required: Sasikala",Sasikala waited at the resort along with the MLAs patiently to acquire the Governor's appointment.
"If I join politics, me and my men will come with guns: Kamal",Tamil Nadu has not had the best of service from politicians for more than 60 years now.
Russian athlete stripped of London Olympics gold for doping,"Russia's Mariya Savinova-Farnosova has been stripped of her 800m London 2012 Olympic Games gold medal after the Court of Arbitration for Sport (CAS) on Friday imposed a four-year ban saying there was ""clear evidence"" she used performance-enhancing drugs.She is the latest in a growing list of Russian athletes to have past Olympic medals taken away over doping, as the nation struggles to overcome its most widespread doping scandal ever.The retroactive four-year penalty starts from Aug. 24, 2015, but CAS also disqualified all Savinova's results from July 26, 2010, to Aug. 19, 2013, thereby stripping her of her 2011 world championships gold, 2013 world silver and 2010 European gold.The athlete has 45 days to consider whether to appeal the CAS decision.The case against her was initiated by the world athletics federation IAAF, which has also maintained a ban on Russian track and field athletes over the country's doping affair.South Africa's double silver medallist Caster Semenya is now in line to be promoted to gold in both the 2012 Olympics and 2011 world championships.The 31-year-old Savinova was among the athletes that a commission set up by the World Anti-Doping Agency (WADA) recommended be banned for life in 2015.Russian Ekaterina Poistogova had finished third in the race at the London Games, but she is also on the list of athletes WADA is recommending a lifetime ban for.Pamela Jelimo of Kenya was fourth and is now in contention for a medal."
Quality of primary public education deteriorating: Javadekar,"Union HRD Minister Prakash Javadekar flagged off the India Today Education Summit by talking about the problems, reforms and solutions the education sector needs today."
16 cases of train sabotage cases in 2017 so far: Report,"The Bihar police initially busted three people - Motilal Paswan, Umashankar Patel and Mukesh Yadav for reportedly planting explosives on the rail track in east Champaran."
CRPF DG refuses farewell parade to ease troops' burden,"A step to ease some pressure from a vast body of stressed troops has been taken.In what many have termed an 'unprecedented departure from an age-old norm', the Director General of the India's biggest central armed police force, the Central Reserve Police Force (CRPF), K Durga Prasad has declined a farewell parade being planned for his retirement at the end of the month."
UNESCO Nature Festival begins in Himachal Pradesh,"The fest will held in collaboration with the Wildlife Institute of India (WII) and would be attended by prominent conservationists, including Dr George Schaller and Dr A J T Johnsingh, a WII spokesman said."
Vogue 125th anniversary cover slammed for lack of diversity,"One wouldn't have thought that a plus-size model could feature in advertisements, let alone the cover page of leading fashion magazines, even a decade back."
Ambassador car brand sold to Peugeot for ?80 crore,"Last month, the PSA Group had inked a partnership with the CK Birla group to re-enter the Indian market and earmarked an initial investment of 100 million euros (around Rs 700 crore) to set up vehicle and powertrain manufacturing in Tamil Nadu.MUST READ: Ambassador Retro triggers nostalgiaThe tie-up entails two joint venture agreements between the companies of the two groups."
I sacked Sasikala before she expelled me: Madhusudhanan,"Madhusudanan, who is considered No 2 in AIADMK, switched sides on Thursday to join the rebel O Panneerselvam camp.Madhusudanan also wrote to the Election Commission not to recognise Sasikala as AIADMK general secretary.SASIKALA SACKS MADHUSUDANANEarlier, sending a strong message to her detractors, Sasikala sacked Madhusudanan from the primary membership of the party, a day after he switched over to the rebel camp led by caretaker Chief Minister O Panneerselvam, and appointed former minister K A Sengottaiyan in his place.Sasikala urged the party workers not to have any truck with Madhusudanan and said they should extend their cooperation to Sengottaiyan."
"Upset over frivolous petitions in SC, CJI imposes fines","The CJI was both upset and angry about the number of frivolous petitions piling up in the apex court, which is already reeling under a backlog of nearly 61,000 cases.Pointing out that he has started imposing heavy costs on such petitioners, he slapped fines of Rs 10 lakh on a Bihar MLA and Rs 1 lakh on a Maharashtra professor in two separate cases.The CJI's remarks came just before the lawyer for the professor said she wanted to withdraw the case, which was filed challenging a circular issued by the Gujarat government."
Don?t obstruct people in temple as they pray: HC to priests,Here (the temple) the fraction of a second is not unobstructed.
West Bengal govt announces relief for note ban 'victims',"Presenting the first budget of the Trinamool government's second term in office on Friday, Bengal Finance Minister Amit Mitra announced that the state government will provide financial assistance to those adversely affected by demonetization.Terming demonetisation as financial and political emergency, Mitra said that the state government would provide a one-time grant of Rs 50,000 to those who bore the brunt of Centre's note ban in order to ""enable them to start an alternative business and stand on their feet"".RELIEF FOR SMALL ENTERPRISE WORKERS, FARMERS According to the new proposal, the government will identify fifty thousand workers associated with various small enterprise who have lost their job either in the state or outside and have been forced to return home."
Rajinikanth may launch his political party: Reports,"In a potboiler of a twist to the ongoing Tamil Nadu drama, it is learnt that superstar Rajinikanth may soon launch his own political party.Sources have told India Today TV the 66-year-old star has been advised by senior RSS ideologue S Gurumurthy to float his own outfit.Sources said Gurumurthy's proposal is part of a BJP plan to enter the state riding on the massive popularity and cult status enjoyed by Rajinikanth in Tamil Nadu.The BJP plans to fish in the troubled waters of Tamil Nadu by projecting Rajinikanth as the chief ministerial face."
We don't produce champion cricketers anymore: Jayasuriya,"""I wouldn't say there's a dearth of talent but we don't produce those champion cricketers as much as we did in the past,"" Jayasuriya was quoted as saying by espncricinfo."
Cook is the guy you won't mind your daughter marrying: Warne,(Also read: Alastair Cook steps down as England Test captain after 4-0 defeat vs India)But England backed him and he's done a great job over the last couple of years.
Sasikala sacks AIADMK Presidium Chairman for backing OPS,Both the AIADMK leaders met Governor C Vidyasagar Rao Thursday evening claiming support of majority of MLAs.
Scientists study human language evolution via apes,"London, Feb 9 (PTI) Scientists may have analysed almost 5,000 orangutan ""kiss squeaks"" - purse-lipped consonant-like calls that appear to convey different messages to understand how human ancestors formed their earliest words."
Akshay Kumar's 'Jolly LLB 2' hits the theatres,"Here is our Jolly LLB 2 movie review.Jolly LLB 2 Cast: Akshay Kumar, Huma Qureshi, Annu Kapoor, Saurabh ShuklaJolly LLB 2 Director: Subhash KapoorJolly LLB 2 Rating:  (3.5/5)Jolly LLB was a jolly good movie."
Teenagers spot fire on GoAir flight with 194 onboard,"I immediately dialled 100 on my mobile phone to inform police about the incident,"" said Kumar.The 187 passengers and six crew members on board the Bengaluru-bound Airbus A320 of GoAir (G8 557) had a narrow escape after the plane caught fire just seven minutes after take-off from Delhi airport on Wednesday evening.The pilot informed Air Traffic Control (ATC) and the plane made an emergency landing without any casualties.ALSO READ|  Jet Airways Goa-Mumbai flight with 161 on board skids off runway, all passengers evacuatedRecounting the sight, Kumar said, ""It was quite dark but the aircraft was visible due to the fire."
Neil Nitin Mukesh marries Rukmini Sahay in Udaipur,"The crazy wedding celebrations which kick started on February 6 came to end with the grand wedding.ALSO READ: These photos from Neil and Rukmini's sangeet, mehendi ceremony are too good to miss WATCH: Neil Nitin Mukesh shakes a leg to Kala Chashma at his engagement in Udaipur  The big fat Indian wedding saw almost 500 guests in Udaipur who joined the bride and groom on their special day.When it finally sinks in that the moment is here... #MineForever #abouttoenter #weddingjitters #beautifulbride #indianbride #NeilandRukmini #Neilnitinmukesh #bollywoodweddings #celebrity #indianweddings #twsindia #theweddingstoryindia #love #couple #celebration #fairytale #photography #weddings #destinationweddings #UdaipurIndia #bridaldressup #groom #allreadytogetmarriedA photo posted by The Wedding Story (@theweddingstoryindia) on Feb 9, 2017 at 7:48am PSTWhile Rukmini looked stunning in a red lehenga embellished with stones and sadhi work, Neil looked royal in a maroon sherwani.The Groom is ready for the Baraat!!"
Shahid's half-brother Ishaan shares poster of debut film,"For the longest time, it was being said that Shahid Kapoor's younger brother Ishaan Khattar will make his big screen debut opposite Sridevi's eldest daughter Jhanvi Kapoor."
"Rahul, Akhilesh denied roadshow permission in Varanasi",Akhilesh Yadav had already planned rallies on the same day in Baraily and Rampur in western Uttar Pradesh.
Mufti govt opposes creation of minority commission in J&K,"In Kashmir valley, about 96.4 per cent are Muslims, followed by Hindus (2.45 per cent), Sikhs (0.98 per cent) and others (0.17 per cent).Sharma argued that Hindus in Jammu and Kashmir are unable to benefit from central and state welfare schemes for minorities."
Air hostess reveals she rescued human trafficking victim,"An attendant for Alaska Airlines, which was running from Seattle to San Francisco on the day, Sheila noticed a 14 or 15-year-old girl looking ""dishevelled"" sitting next to a fairly well-dressed man, according to 10 News."
Jama Masjid Shahi Imam urges Muslims to support BSP,"Just hours after the campaigning for the first phase of Assembly elections in Uttar Pradesh ended today, Jama Masjid Shahi Imam Syed Ahmed Bukhari surprised many by announcing support for Mayawati's Bahujan Samaj Party (BSP).Bukhari accused the Samajwadi Party and Uttar Pradesh Chief Minister Akhilesh Yadav of neglecting Muslims in the state while doing everything for Yadavs.Assembly Elections 2017: Full Coverage Blaming the Samajwadi Party for Muzaffarnagar and Dadri incidents, the Shahi Imam said that the state witnessed over 400 communal cofrontations during Akhilesh's rule."
Religious freedom violations grew under Modi govt: US report,"Religious tolerance has deteriorated and religious freedom violations have increased in India under Prime Minister Narendra Modi's regime, a report by an independent bipartisan American body has claimed.The report, titled 'Constitutional and Legal Challenges Faced by Religious Minorities in India' and sponsored by the US Commission on International Religious Freedom (USCIRF), said the religious minority communities and Dalits face discrimination and persecution in India where hate crimes, social boycotts and forced conversion have escalated dramatically since 2014."
Indrani forged Peter's signature on bank documents: Reports,"Indrani, who is currently serving jail term in Mumbai's Byculla Jail, is alleged to have forged husband Peter Mukherjea's signature and addressed letters to two banks to grab joint accounts and fixed deposits."
What is Chinaman bowling in cricket?,"It's also called left-arm unorthodox spin.This a rare type and is actually considered to be more dangerous because of the sharp turn it generates into a right hander or away from the left hander.VARIATIONS OF A CHINAMAN BOWLERWell, it is traditionally wrist spin."
"India building secret nuclear city, claims Pakistan","Pakistan today claimed that India is building a ""secret nuclear city"" and has accumulated a stockpile of nuclear weapons which threatens to undermine the strategic balance of power in the region."
"'Rajamouli to cast Rajinikanth, Aamir in Mahabharata film'","""Interestingly, Aamir Khan himself expressed his desire to work with Rajamouli during the promotions of Dangal."
"Delhi govt to revamp foot-over-bridges, subways",Facilities like lifts and escalators are in the offing.There are 73 FOBs in the city and the government is planning to construct 60 more at important intersections.
Hitachi admits 32 lakh debit cards were compromised in 2016,"""Hitachi Payment Services regrets the inconvenience caused to banks and its customers due to this lapse in its security infrastructure."
Delhi to launch WhatsApp number to report public drinking,"The decision to issue WhatsApp number was taken at a review meeting, chaired by Sisodia, where senior officers of Excise Department briefed him about the action taken during the ongoing drive."
CISF personnel at Delhi Airport to wear suits,The CISF men from now on will wear suits and ties instead of the standard issue force uniform.
Karun 4th player to be dropped after hitting triple century,Karun Nair today became only the fourth batsman to be excluded from the playing XI of the next Test after scoring a triple hundred in his previous Test.
TV actress arrested for posting video with protected cobra,TV actress Shruti Ulfat and three others have been sent to judicial custody after she was produced at the Borivali Court for posing with a cobra around four months back.
Miandad blames foreign coaches for Pak cricket's decline,Javed Miandad has blamed foreign coaches employed by the Pakistan Cricket Board (PCB) for bringing the national team on the brink of disaster.He also lashed out at the PCB's announcement that it would hold a two-day round table conference in Lahore in March with leading former captains and stalwarts to discuss and find solutions to Pakistan's cricket problems.
Liver transplant saves life of boy with perpetual jaundice,said Dr Sibbal.The normal bilirubin count is 1; Khalid's count was 30 when he underwent a liver transplant at Indraprastha Apollo hospital to reverse the condition.
Everyone born in India is a Hindu: RSS chief Mohan Bhagwat,"In a remark likely to court controversy, Rashtriya Swayamsevak Sangh chief Mohan Bhagwat on Wednesday said every person born in India is a Hindu."
PM crossed limits of decency in his remark on Manmohan: JD-U,HERE ARE THE LIVE UPDATES:The Prime Minister today morning tweeted about his Rajya Sabha address.
Uphaar tragedy: SC gives 1 yr sentence to Gopal Ansal,"The Supreme Court on Thursday ordered one year in jail for city-based builder Gopal Ansal who with his elder brother, Sushil, owned a south Delhi cinema hall where a fire killed 59 people 20 years ago.Reviewing its 2015 judgment that saw the brothers, who owned Uphaar Cinema, being let off with a fine of Rs 30 crore each, the court said the jail term would act as a deterrent and serve larger public interest."
In a very happy space right now: Sagarika on dating Zaheer,The rumours of Chak De girl Sagarika Ghatge dating former cricketer Zaheer Khan started doing the rounds when the two were seen inseparable at Yuvraj Singh wedding last year.
"Net neutrality, facepalm added to Merriam-Webster Dictionary","Washington, Feb 8 (PTI) FLOTUS, face-palm, net neutrality along with terms from recent advances in science - such as CRISPR - are among over 1,000 new words added to the Merriam-Webster Dictionary for the first time since 2014."
'Sasikala's proximity to Jaya doesn't qualify her to be CM',"Let's stop blaming them Lets become incorruptable.He spoke about the anger of the people of Tamil Nadu, especially the sense of betrayal and how they must come to the streets if their politicians don't get their act together."
Braille ballot papers for visually-challenged voters in UP,"Muzaffarnagar, Feb 8 (PTI) Braille ballot papers would be provided to help 966 visually impaired voters exercise their franchise during the first phase of Uttar Pradesh Assembly elections on February 11 here, an official said today."
No cash withdrawal limit from March 13: RBI,"The Reserve Bank of India (RBI) today said that the weekly withdrawal limit for savings account will be raised to Rs 50,000 from February."
Will give a big blow for the act of betrayal: Sasikala,Tamil Nadu Governor Ch.
EC questions Sasikala's elevation as AIADMK Gen Secy,Tamil Nadu Governor Ch.
"Salman, Karisma to do a cameo in 'Judwaa 2'","Mumbai, Feb 6 (PTI) Filmmaker Sajid Nadiadwala has confirmed that actors Salman Khan and Karisma Kapoor will make a special appearance in ""Judwaa 2""."
Panneerselvam orders probe into Jayalalithaa's death,Tamil Nadu Governor Ch.
Munna Bhai 3 to be my last Munna Bhai film: Hirani,"However, Munna Bhai Chale Amrica hit a roadblock when Sanjay Dutt was incarcerated in 2013."
Panneerselvam claims support of 50 MLAs,Tamil Nadu Governor Ch.
Panneerselvam acting at DMK's behest: Sasikala,AIADMK general secretary Sasikala Natarajan today said that DMK was behind interim chief minister O Panneerselvam's revolt against her.
Online petition against Sasikala as CM gets 1.7L signatures,The resentment against AIADMK Geneal Secretary Sasikala Natarajan is gathering steam every minute.
"I-T dept detects ?16,200 crore in black money stashed abroad","""Further, about Rs 8,000 crore of credits in the undisclosed foreign accounts of Indians, whose names were disclosed by the International Consortium of Investigative Journalists (ICIJ), have been detected,"" Finance Minister Arun Jaitley said in a written reply to the Rajya Sabha.NO ESTIMATION OF AMOUNT STASHED ABROADThere is no official estimation of quantum of black money stashed abroad by Indians, he said."
You can operate when body is healthy: PM Modi on note ban,"""Like Swachh Bharat, the decision on demonetisation is a movement to clean India (from corruption and black money),"" Modi said today."
Quake bigger than Nepal 2015 may hit North India soon: Study,"Several reports based on study of movement of tectonic plates have pointed out that a catastrophic earthquake could hit Uttarakhand, Himachal Pradesh, Jammu and Kashmir and other parts of north India in years to come.Scientists of Wadia Institute of Himalayan Geology (WIHG) said that the big one could come sooner than expected."
Dressing like men causes PCOS: College principal tells girls,"A list of do's and don'ts was released by a Mumbai college recently and apart from shocking everyone, it has invited mockery at a large scale.Government Polytechnic College in Bandra has finally found a way to avoid eve-teasing by separating the seating areas of girls and boys in the canteen area and slapping a dress code on the girls studying in the college."
"Kejriwal approves proposal to build 6,178 flats for poor","said a Delhi government spokesperson.Read more: Delhi govt to provide 24/7 toilet facility in slumsDelhi Slum & Jhuggi Jhopari Rehabilitation & Relocation Policy 2015 has also been approved by the board, clearing way for the rehabilitation."
?5.5 crore hospital bill for Jayalalithaa's 75-day treatment,"Putting an to end to rumours suggesting an unnatural death, the London specialist who treated her, Dr Richard Beale, said that the former chief minister suffered from acute diabetes and died of respiratory failure."
"Man tries to kiss cobra for photo, dies after being bitten","Somnath Mhatre's attempt for a photo-op with a rescued cobra turned fatal in Navi Mumbai, Maharashtra.Mhatre, a snake rescuer, was trying to kiss the head of a cobra when the reptile bit him."
CBFC to reissue certificate to Jolly LLB 2 after HC order,"""The Aurangabad bench of the Bombay High Court today ordered the makers of film Jolly LLB 2 to delete four scenes from the film after the committee that it had formed to view the film objected to a few scenes in the film."
"Gandhis died for India, not a dog died from your house: Cong","Apart from slamming the government over the death of veteran Kerala MP E. Ahamed, Kharge also touched upon the issue of demonetisation.Also read: E Ahamed's death hushed up, alleges CongressKharge slammed Prime Minister Narendra Modi for his demonetisation move, saying 125 people died because of it, he should have at least apologized for it.He further said, ""Gandhi ji sacrificed his life for the country; Indira ji too sacrificed her life."
DCW chief gets bail in recruitment case,"AAP leader and chief of Delhi Commission for Women Swati Maliwal was today granted bail by a Special Court in a case of alleged irregularities in the recruitment process of the women's panel.Maliwal appeared before the court in pursuance to summons issued to her by the court on January 18.Special Judge Hemani Malhotra said the evidence in the matter was documentary and Maliwal was not required for custodial interrogation and granted her bail on furnishing of a personal bond of Rs 20,000 and a surety of like amount.Also read: Delhi BJP seeks removal of DCW chief Swati MaliwalDuring the hearing, the court asked the investigating officer and prosecutor Atul Shrivastava whether the Anti-Corruption Branch (ACB) was further probing the matter as per its direction.To this, the IO replied in the affirmative and said it would take some time to conclude the investigation."
"Pietersen tweets ""BringBackKP"" after Cook's resignation","In all likelihood, Joe Root is like to take over as Test captain.A change in leadership was imminent after England went down 4-0 to India in the five-Test series.Pietersen, who last played a Test against Australia in Sydney back in January 2014 has always been vocal about making a comeback for England in international cricket."
